sentiment,text,user,
neutral,"Dituding Mainkan Isu PKI, Haikal Hassan Sumpah Mubahalah. Ini Komentar Pedas Warganet https://t.co/fzr4C4i8t0 via… https://t.co/qEeHKs8UrI",04_adisetiawan,
neutral,"@NgkongRoses @haikal_hassan Memang semua sdh di skenario oleh kelompok mereka dgn adanya isu kebangkitan PKI, penol… https://t.co/PmArHyIBZF",Heras_24,
neutral,"@WahabisLokal @woelannnn Sy anti PKI dan HTI / Khilfah.\n\nAlhamdulillah  isu PKI dah mereda, tp HTI/Khilafah di dpn… https://t.co/lPRvyM2lis",Bowieu22,
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,aretwett,
neutral,"RT @MDR_08Ob2l: Anak² Yg Tumbuh Pasca-reform.\nSdh Tdk Mendapatkan Pelajaran  Pemberontakan G30S PKI. \n\Sarjana Yg Lulus 3 — 4Th Belakangan…""",roon3651,
neutral,RT @MDR_08Ob2l: Jenderal TNI (Purn.) Gatot Nurmantyo;\n\PKI Tetap Hidup Seperti Setan," Tak Terlihat.\""\n\n#JKWTumbangRakyatSenang \n\n*arsip mare…""",roon3651
neutral,"@maman_mobkas @mario_setara @haikal_hassan Eneg dg cuat cuit bikin gaduh, kalo ada yg tanya dimana dan siapa pki ny… https://t.co/TxjTwVKSYa",UbayFatR,
neutral,RT @hamka_sutra: @kangdede78 @NinjaCir3ng Para cecunguk kadroen di sini bingung mau ngangkat isu apa.\nSemua serba nanggung.\n\n😂\n\nNgangkat is…,AEPishere,
neutral,RT @vita_AVP: Segala daya dan upaya dilakukan utk mendiskreditkan presiden @jokowi dan keluarganya dng isu PKI. Tdk peduli dosa yg penting…,AEPishere,
neutral,@haikal_hassan Tetep aja di otak mah isu PKI tetap ada 😀😀😀,hfrelaurensw,
neutral,RT @mirfanw01: @Snake_Eyes_78 PKI udah nyata di depan mata\nTinggal kita mau bantu teman2 yg masih perduli dengan isu ini walau cuma pakai d…,kamsidi_alex,
neutral,RT @tjhinfar21: Yg sibuk cetak bendera PKI lalu dibakar kelompok kalian\nYg sebar isu kebangkitan PKI kalian juga\nYg inget hari ultah PKI ka…,PPxid,
neutral,RT @DTanjung15: Apa kabar Jongos2 bayaran Keturunan Orba\nMereka Gobloknya minta Ampun\nSibuk menyebar isu PKi dan tampilkan atribut PKI\nTapi…,HasanUm19277820,
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,woelannnn,
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,dubie_tina,
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,Hanifah933,
neutral,"@haikal_hassan Basi pak.. Dikit\ PKI. Klw ada nyata langsung tngkap. Udh 7 thun isu PKI. sampek sekarng satu. Aja blom ktangakap.""",ImaBabah,
negative,"RT @HMSoeharto1921: Mencuatnya isu \Pak Harto PKI\"""," ke permukaan publik itu pertanda baik. Tanda kaum kiri kehabisan stok isu. Propaganda i…""",erisindo_89
neutral,RT @kimansu: Sepak terjang orde bangkai dalam memanfaatkan isu PKI masih berlangsung hingga kini.,DewaYasmin,
neutral,"RT @MDR_08Ob2l: Anak² Yg Tumbuh Pasca-reform.\nSdh Tdk Mendapatkan Pelajaran  Pemberontakan G30S PKI. \n\Sarjana Yg Lulus 3 — 4Th Belakangan…""",Mulyana83791524,
neutral,RT @BuanaEzi: Isu pki begitu gencar disuarakan oleh kaum oposisi utk meruntuhkan kepercayaan rakyat terhadap kepemimpinan yg sah dan konsti…,priaberdasi,
neutral,RT @mirfanw01: @Snake_Eyes_78 PKI udah nyata di depan mata\nTinggal kita mau bantu teman2 yg masih perduli dengan isu ini walau cuma pakai d…,awhsar,
neutral,"RT @MDR_08Ob2l: Anak² Yg Tumbuh Pasca-reform.\nSdh Tdk Mendapatkan Pelajaran  Pemberontakan G30S PKI. \n\Sarjana Yg Lulus 3 — 4Th Belakangan…""",mboell1,
neutral,RT @abirekso: Cuman ingetin seberapa berkuasanya Pak Harto. Lagi ada yg naikin isu PKI yaa denger-denger ??\n\n 🙏🏼🙏🏼 https://t.co/RJByRfNn4T,ipunk_syarif,
neutral,RT @BuanaEzi: Isu pki begitu gencar disuarakan oleh kaum oposisi utk meruntuhkan kepercayaan rakyat terhadap kepemimpinan yg sah dan konsti…,zaskia67,
neutral,@vita_AVP @jokowi @aniesbaswedan Kadrun selalu menjual Hoax  fitnah dan kebencian.\nDibantu Cen dgn idu pki dan Cik dgn isu utang.,HiaDaniel,
